conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sentiment_label_raw,sentiment_score,sentiment
1913380160432422983,Fri Apr 18 23:52:33 +0000 2025,0,Naaaah....niiiiih.... @prabowo para menterinya banyak yang otak kodok didukung para cebong buzzeRp.... berani nggak pecat mereka???,1913380160432422983,,,in,,0,0,0,https://x.com/pondokG65657380/status/1913380160432422983,1569878294509789184,pondokG65657380,1 star,0.5571135878562927,Negatif
1913135047894503512,Fri Apr 18 23:52:33 +0000 2025,0,@IndoPopBase Mana buzzer kaum 58% udah bilang prabowo berhasil nego lagi malu gak ya,1913380160373690529,,IndoPopBase,in,,0,0,0,https://x.com/coffeejunxie/status/1913380160373690529,1791060132111245312,coffeejunxie,1 star,0.35952484607696533,Negatif
1913163040117207047,Fri Apr 18 23:52:29 +0000 2025,0,@tilehopper Indonesia pengennya baik ke AS dan ke China tapi malah ditinggalin dua duanya apes kali Pak Prabowo ini,1913380142875111904,,tilehopper,in,"Jawa Tengah, Indonesia",0,0,0,https://x.com/SatrioDicaprio/status/1913380142875111904,1850112600685895680,SatrioDicaprio,1 star,0.3521895706653595,Negatif
1912894859196944891,Fri Apr 18 23:52:27 +0000 2025,0,@Heraloebss @prabowo Tutup aja bang perusahaannya....,1913380133916090848,,Heraloebss,in,,0,0,0,https://x.com/whitechocolatos/status/1913380133916090848,85509847,whitechocolatos,1 star,0.501793384552002,Negatif
1913219540185743659,Fri Apr 18 23:52:09 +0000 2025,0,@blackshark7890 Mungkin kepemimpinan terbagi menjadi 2 TIM yaitu : 1. Prabowo + Tentara + Gerindra + Demokrat + PAN + PKS 2. Gibran + Pro'JKW + Polisi + PDIP + Golkar + PKB + Nasdem Rakyat hanya bisa berDOA semoga mereka semua amanah terhadap tugas dan jabatan masing² untuk kepentingan NKRI.,1913380057852330175,,blackshark7890,in,,0,0,0,https://x.com/murtiwandawa1/status/1913380057852330175,1480905112222527489,murtiwandawa1,1 star,0.3056558072566986,Negatif
1913123959085977895,Fri Apr 18 23:52:08 +0000 2025,0,@hasyimmah Bukan masalah ijasah sih..mereka ga suka Prabowo ahirnya terpengaruh oleh The power of Jokowi ..buktinya wapres anaknya.. gara2 wan abud dan Mr. Porn https://t.co/toR4L42Vbr kalah waktu election..jd mau ngulik Jokowi ga bisa di lain hal ..sulit faktanya terlalu sedikit!,1913380052953370700,,hasyimmah,in,,0,0,0,https://x.com/BigLovers76/status/1913380052953370700,1870341834859552768,BigLovers76,2 stars,0.39494410157203674,Negatif
1912894859196944891,Fri Apr 18 23:51:40 +0000 2025,0,@Heraloebss @prabowo Lawanmu ibu ibu pesbuk Pak. Kalo ada yg ribet kenapa harus dipermudah,1913379935328371101,,Heraloebss,in,,0,0,0,https://x.com/LYeorim/status/1913379935328371101,1122530588,LYeorim,1 star,0.3135094940662384,Negatif
1912521516065173817,Fri Apr 18 23:51:01 +0000 2025,0,@MariaAlkaff_ @prabowo @jokowi Atau jangan jangan memang dibiarkan saja ya. Ntar tahu tahu ketangkap KPK. ,1913379773658857663,,MariaAlkaff_,in,,0,0,0,https://x.com/LiliexJulianto/status/1913379773658857663,1254981248851652608,LiliexJulianto,1 star,0.4634959399700165,Negatif
1912982331234943343,Fri Apr 18 23:50:48 +0000 2025,0,@DonHegel @CNNIndonesia @Puspen_TNI @prabowo Kalo skrg sih gunanya yg utk melindungi kepentingan kekuasaan Prabowo dan mengintimidasi rakyat!!,1913379718231195916,,DonHegel,in,,0,0,0,https://x.com/Ama_xxii/status/1913379718231195916,1139304012992225280,Ama_xxii,5 stars,0.35588085651397705,Positif
1912779209614979559,Fri Apr 18 23:50:40 +0000 2025,0,@xquitavee @jokowi Buzzer2 ini tuh ternyata buzzernya jokowi ya wkwkwk bukan buzzer prabowo,1913379684550869226,,xquitavee,in,,0,0,0,https://x.com/coffeejunxie/status/1913379684550869226,1791060132111245312,coffeejunxie,1 star,0.46592196822166443,Negatif
